,LN_ID,TARGET,contract_type_ord,gender_ord,num_of_children_ord,INCOME,APPROVED_CREDIT,ANNUITY,PRICE,income_type_ord,education_ord,family_status_ord,housing_type_ord,DAYS_AGE,DAYS_WORK,DAYS_REGISTRATION,DAYS_ID_CHANGE,weekdays_apply_ord,hour_apply_ord,organization_type_ord,EXT_SCORE_1,EXT_SCORE_2,EXT_SCORE_3,SK_ID_PREV,INST_NUMBER,INST_DAYS,PAY_DAYS,AMT_INST,AMT_PAY,contract_type_prevapp_ord,ANNUITY_PREV_APP,APPLICATION,APPROVED_CREDIT_PREV_APP,AMT_DOWN_PAYMENT,PRICE_PREV_APP,weekdays_apply_prevapp_ord,hour_apply_prevapp_ord,DAYS_DECISION,TERM_PAYMENT,yield_group_ord,FIRST_DRAW,FIRST_DUE,TERMINATION,NFLAG_INSURED_ON_APPROVAL
34,112751,0,1,2,1,112500.0,153000.0,6736.5,153000.0,1,1,2,1,-14464,-711,-2648,-3551,3,8,4,0.4516191192341859,0.26651977539251576,0.6940926425266661,1163958,22,-933,-936.0,3296115.0,3296115.0,3,3296115.0,61006.5,73084.5,0.0,61006.5,5,8,-1594,24.0,4,365243.0,-1563.0,-899.0,0.0
42,157311,0,1,2,2,117000.0,771493.5,32562.0,666000.0,2,1,1,2,-12082,-865,-3334,-4189,4,9,2,0.35672216251848216,0.6388205085774411,0.2580842039460289,2475677,8,-254,-256.0,6386625.0,6386625.0,3,6386625.0,126693.0,141016.5,0.0,126693.0,6,8,-495,24.0,4,365243.0,-464.0,365243.0,0.0
47,179959,0,1,2,1,90000.0,283500.0,15957.0,283500.0,1,1,1,1,-18308,-2951,-10642,-1855,4,5,6,0.566970512040583,0.7371009434894804,0.41184855592423975,2399119,1,-1507,-1519.0,20468205.0,20468205.0,3,20468205.0,94860.0,99553.5,0.0,94860.0,6,8,-1538,6.0,2,365243.0,-1507.0,-1348.0,0.0
53,128729,0,1,2,1,337500.0,976500.0,28683.0,976500.0,1,2,2,1,-20105,-581,-3169,-3663,1,2,4,0.8167591525521447,0.2817419101936765,0.3344541255096772,1424961,20,-1353,-1438.0,14827635.0,14827635.0,1,14827635.0,180000.0,203760.0,0.0,180000.0,6,5,-1955,24.0,2,365243.0,-1923.0,-1317.0,0.0
55,172416,0,1,1,2,225000.0,269550.0,12001.5,225000.0,2,2,1,2,-15250,-462,-7284,-4256,1,10,7,0.6345920756565262,0.6483755148614933,0.7850520263728172,1847583,3,-2355,-2364.0,9251055.0,9251055.0,3,9251055.0,52893.0,52177.5,3177.0,52893.0,5,8,-2446,6.0,3,365243.0,-2415.0,-2255.0,1.0
61,175970,0,1,1,1,157500.0,568800.0,15133.5,450000.0,1,2,1,1,-8589,-264,-904,-1109,5,10,4,0.2844024410804889,0.4189600300521135,0.36896873825284665,2332472,6,-262,-284.0,23236.92,23236.92,3,23236.92,222975.0,248949.0,0.0,222975.0,2,5,-444,12.0,3,365243.0,-412.0,-75.0,0.0
68,180288,0,1,2,2,306000.0,675000.0,53460.0,675000.0,1,2,1,1,-10519,-994,-483,-924,3,8,0,0.3459031694086036,0.4626561213934121,0.2263473957097693,2306302,8,-170,-170.0,9893.79,9893.79,3,9893.79,142191.0,166590.0,0.0,142191.0,6,5,-410,24.0,1,365243.0,-380.0,365243.0,1.0
70,125047,1,1,1,3,180000.0,679500.0,27076.5,679500.0,2,1,1,1,-12702,-561,-6768,-3721,1,11,2,0.5820344299352956,0.3811716599573153,0.5513812618027899,1667271,3,-2825,-2833.0,5706.99,5706.99,3,5706.99,30105.0,28435.5,3010.5,30105.0,5,9,-2916,6.0,2,365243.0,-2885.0,-2634.0,1.0
77,104671,0,1,2,1,126000.0,700830.0,20619.0,585000.0,1,1,2,1,-20792,-106,-6282,-4316,6,2,4,0.8434241474734213,0.6349568891165591,0.6577838002083306,1954108,5,-541,-582.0,6483195.0,6483195.0,3,6483195.0,126477.0,63238.5,63238.5,126477.0,7,0,-692,12.0,1,365243.0,-661.0,-440.0,0.0
78,192959,1,1,2,2,135000.0,397332.0,31522.5,351000.0,1,1,1,1,-11379,-436,-375,-279,1,10,2,0.2092106584043062,0.008654602090631841,0.28812959991785075,1688302,1,-204,-216.0,7098.21,7098.21,3,7098.21,45720.0,43470.0,2250.0,45720.0,1,2,-238,8.0,2,365243.0,-204.0,365243.0,0.0
82,105911,0,1,2,1,90000.0,840951.0,22680.0,679500.0,3,1,1,1,-20356,365243,-4749,-3183,6,12,8,0.7188184545913531,0.5211079483866684,0.6956219298394389,2508785,4,-899,-900.0,9162.54,9162.54,3,9162.54,98100.0,98100.0,0.0,98100.0,7,10,-1021,12.0,3,365243.0,-989.0,-650.0,0.0
83,153911,0,1,2,1,139500.0,900000.0,38263.5,900000.0,1,1,1,1,-18331,-727,-778,-1842,4,11,9,0.6852019359018715,0.6375127038617406,0.5797274227921155,2363054,4,-2337,-2355.0,5622525.0,5622525.0,3,5622525.0,33255.0,35451.0,0.0,33255.0,3,4,-2458,8.0,2,365243.0,-2427.0,-2188.0,1.0
85,166224,0,1,1,1,135000.0,755856.0,36490.5,652500.0,1,1,2,1,-10409,-671,-3207,-3088,5,2,2,0.30458016403512433,0.3649908503511745,0.4866531565147181,1107979,2,-1058,-1066.0,20873655.0,20873655.0,3,20873655.0,94009.5,77850.0,18805.5,94009.5,6,11,-1119,4.0,1,365243.0,-1088.0,-1020.0,0.0
95,138331,0,1,2,3,112500.0,900000.0,31887.0,900000.0,1,1,1,2,-11988,-2336,-511,-1571,5,10,10,0.6125930221340766,0.16219210595922867,0.5691487713619409,2141185,1,-2093,-2107.0,4225.23,4225.23,3,4225.23,26010.0,21838.5,5202.0,26010.0,2,6,-2124,6.0,1,365243.0,-2093.0,-1937.0,0.0
98,154528,0,1,2,1,211500.0,545040.0,26640.0,450000.0,1,2,1,1,-11481,-3176,-1940,-4160,4,2,11,0.4066409701392778,0.6315949576118901,0.5884877883422673,1045833,5,-1180,-1189.0,9889515.0,9889515.0,3,9889515.0,98239.5,107964.0,0.0,98239.5,2,1,-1332,12.0,4,365243.0,-1300.0,-962.0,0.0
99,187782,0,1,2,1,112500.0,113760.0,4216.5,90000.0,3,1,3,1,-22798,365243,-3438,-4399,5,10,8,0.8642689107575003,0.6324595292935209,0.6940926425266661,1133303,4,-2031,-2052.0,3333555.0,3333555.0,3,3333555.0,27733.5,27414.0,2790.0,27733.5,1,8,-2153,12.0,2,365243.0,-2121.0,-1783.0,0.0
100,193079,0,2,1,1,90000.0,180000.0,9000.0,180000.0,1,1,2,1,-11551,-396,-5679,-3927,5,1,2,0.4543197843661535,0.7915080134509889,0.646329897706246,1463968,7,-968,-970.0,7169.13,7169.13,3,7169.13,67932.0,67189.5,6795.0,67932.0,6,5,-1182,12.0,1,365243.0,-1148.0,-873.0,0.0
105,177793,0,1,2,1,121500.0,495000.0,25402.5,495000.0,1,1,1,1,-13163,-1307,-6925,-5713,4,0,12,0.3354698519605182,0.3210152069971645,0.3046721837533529,1149981,4,-803,-815.0,15992.46,15992.46,3,15992.46,145800.0,158310.0,0.0,145800.0,3,2,-925,12.0,1,365243.0,-893.0,-606.0,0.0
108,108004,0,1,2,2,112500.0,360000.0,17509.5,360000.0,1,1,1,1,-9763,-791,-1741,-896,1,3,10,0.40738981101728267,0.4524473739265871,0.32173528219668485,1598575,7,-274,-364.0,5013045.0,5013045.0,3,5013045.0,37291.5,41229.0,0.0,37291.5,6,2,-485,12.0,2,365243.0,-454.0,-211.0,0.0
112,104667,0,1,1,1,180000.0,305640.0,34564.5,270000.0,2,2,2,4,-8649,-363,-3496,-1336,1,13,13,0.3651036962566864,0.7154693703376471,0.4848514754962666,2801762,2,-558,-573.0,8057655.0,8057655.0,3,8057655.0,79787835.0,79393.5,7976835.0,79787835.0,6,5,-625,12.0,1,365243.0,-588.0,-281.0,0.0
116,187571,0,1,2,1,225000.0,592560.0,28507.5,450000.0,1,1,4,1,-15545,-2469,-7583,-4879,5,1,1,0.6552430225178856,0.5351506109925749,0.3185955240537633,2403409,7,-2556,-2548.0,2683935.0,2683935.0,3,2683935.0,32085.0,20119.5,13500.0,32085.0,3,5,-2767,10.0,3,365243.0,-2736.0,-2462.0,1.0
119,189232,0,1,2,1,180000.0,1113840.0,47322.0,900000.0,1,1,1,1,-19167,-2717,-9160,-2460,7,11,4,0.545102825297492,0.7738212534481558,0.3723336657058204,2496674,12,-1709,-1711.0,21843675.0,21843675.0,1,21830.22,180000.0,191880.0,0.0,180000.0,2,8,-2069,12.0,2,365243.0,-2039.0,-1701.0,1.0
123,154647,0,1,1,1,112500.0,900000.0,25924.5,900000.0,1,4,1,1,-18794,-1795,-1072,-1890,2,5,5,0.8458622778996823,0.7082075139866373,0.5064842396679806,2394560,10,-1029,-1044.0,8848.89,8848.89,3,8848.89,88047.0,96763.5,0.0,88047.0,2,9,-1331,12.0,4,365243.0,-1299.0,-962.0,0.0
124,183924,0,1,2,2,112500.0,231813.0,21388.5,193500.0,1,2,1,1,-10737,-394,-696,-1810,1,0,2,0.3434094668701241,0.5176416962179716,0.6769925032909132,1782265,12,-1679,-1683.0,2368.98,2368.98,3,2365.74,19305.0,21217.5,0.0,19305.0,5,8,-2040,12.0,2,365243.0,-2009.0,-1674.0,0.0
127,132145,0,1,2,1,225000.0,225000.0,10953.0,225000.0,1,5,3,1,-11974,-3150,-6100,-1639,5,11,14,0.5603005341671284,0.5982011950482508,0.30162489168411943,1336339,5,-823,-823.0,29184.84,29184.84,3,29184.84,445162.5,445162.5,0.0,445162.5,3,0,-975,18.0,3,365243.0,-943.0,-425.0,0.0
130,148506,0,1,1,1,112500.0,755190.0,30078.0,675000.0,2,4,1,1,-14266,-369,-5857,-1394,2,2,4,0.3084206141906375,0.3415703062192277,0.6817058776720116,1962603,6,-1808,-1812.0,6235515.0,6235515.0,3,6235515.0,50620.5,48906.0,6120.0,50620.5,1,9,-1989,12.0,2,365243.0,-1958.0,-1626.0,0.0
132,150370,0,2,2,3,157500.0,180000.0,9000.0,180000.0,1,2,1,1,-10884,-785,-453,-629,3,2,4,0.3048442235427706,0.36595944135795616,0.4848514754962666,1843253,2,-672,-687.0,13630.77,13630.77,3,13630.77,149539.5,155389.5,0.0,149539.5,5,3,-733,12.0,4,365243.0,-702.0,-640.0,0.0
138,200362,0,1,1,1,283500.0,67500.0,5040.0,67500.0,2,1,2,1,-10715,-2726,-5174,-3383,4,9,4,0.9097937545284714,0.5414657674203207,0.3842068130556564,1844717,8,-1494,-1511.0,12844.17,12844.17,3,12844.17,121491.0,139864.5,0.0,121491.0,5,4,-1735,16.0,2,365243.0,-1704.0,-1250.0,0.0
139,269708,0,1,2,2,135000.0,225000.0,22383.0,225000.0,2,1,1,1,-15159,-385,-943,-3071,4,4,15,0.7693417395889064,0.6417517610048917,0.3077366963789207,1683759,3,-2480,-2556.0,3203595.0,3203595.0,3,3203595.0,76900.5,68746.5,8154.0,76900.5,1,1,-2572,24.0,4,365243.0,-2540.0,-1845.0,0.0
140,160706,0,1,2,1,157500.0,948582.0,27864.0,679500.0,1,1,5,1,-17846,-10467,-4123,-1396,5,2,4,0.6799889614638914,0.5294398259448977,0.3706496323299817,1495853,5,-29,-62.0,4969.89,4969.89,3,4969.89,44955.0,40455.0,4500.0,44955.0,5,0,-182,10.0,1,365243.0,-149.0,365243.0,0.0
141,245760,0,1,2,1,202500.0,1528200.0,53248.5,1350000.0,4,2,4,1,-16155,-7639,-9078,-4535,2,9,5,0.6926672610216957,0.7331581595858636,0.41885428862332175,1230377,4,-1162,-1201.0,9574.38,9574.38,3,9574.38,92236.5,78736.5,13500.0,92236.5,7,1,-1283,12.0,2,365243.0,-1252.0,-947.0,0.0
144,123747,1,1,2,1,112500.0,720000.0,25506.0,720000.0,1,1,1,1,-11212,-793,-3712,-1364,2,9,4,0.647137728556431,0.4199238517649244,0.20092608771597087,1268525,3,-510,-533.0,12701745.0,12701745.0,3,12701745.0,177030.0,207409.5,0.0,177030.0,6,9,-606,24.0,1,365243.0,-570.0,365243.0,0.0
145,157369,0,1,2,1,135000.0,1285816.5,42624.0,1152000.0,1,1,1,1,-19485,-3380,-11175,-764,6,9,4,0.8453048032659952,0.23498339364713866,0.43473324875017305,2238020,2,-2171,-2190.0,10171.98,10171.98,3,10171.98,93978.0,91557.0,9400.5,93978.0,7,9,-2232,10.0,3,365243.0,-2201.0,-1924.0,1.0
151,129880,0,1,2,1,121500.0,855000.0,43654.5,855000.0,2,1,1,1,-13737,-2928,-5703,-5703,6,11,2,0.3618846242925584,0.4473763440158221,0.5388627065779676,2523675,1,-2012,-2035.0,3864.06,3864.06,3,3864.06,31041.0,30703.5,3105.0,31041.0,7,11,-2043,12.0,2,365243.0,-2012.0,-1917.0,0.0
154,121315,0,1,2,1,315000.0,1006920.0,42790.5,900000.0,1,2,1,1,-17617,-1505,-2724,-1150,3,11,4,0.5797037438111486,0.6529037474949271,0.28371188263500075,1984743,2,-37,-47.0,23810.94,23810.94,3,23810.94,128209.5,134977.5,0.0,128209.5,4,5,-97,6.0,4,365243.0,-67.0,365243.0,1.0
155,113206,0,1,2,1,121500.0,588465.0,32053.5,468000.0,1,1,1,1,-10984,-1565,-2437,-2903,3,1,5,0.3626014119609755,0.5924748083425909,0.3296550543128238,1338861,1,-503,-510.0,7325325.0,7325325.0,3,7325325.0,46741.5,39613.5,9351.0,46741.5,1,9,-534,6.0,1,365243.0,-503.0,-437.0,0.0
161,257249,0,1,1,2,234000.0,835380.0,42781.5,675000.0,2,1,1,1,-9785,-1243,-4635,-2464,3,11,2,0.16050198690782078,0.11956139351002815,0.5370699579791587,2705790,11,-1530,-1534.0,13284.36,13284.36,3,13284.36,110655.0,109246.5,11250.0,110655.0,4,10,-1861,12.0,2,365243.0,-1830.0,-1494.0,0.0
165,238250,0,1,2,1,157500.0,1575000.0,47754.0,1575000.0,3,1,4,1,-21536,365243,-2878,-4758,3,0,8,0.8451232407513305,0.6076400241213843,0.6313545365850379,1695110,5,-1299,-1304.0,7194015.0,7194015.0,3,7194015.0,35910.0,36904.5,4500.0,35910.0,2,9,-1450,6.0,1,365243.0,-1419.0,-1262.0,0.0
166,153134,0,1,2,1,81000.0,552555.0,19975.5,477000.0,4,1,3,1,-14558,-5988,-5059,-5174,6,10,12,0.337139017748516,0.4549351488366698,0.07105512466873665,1602329,3,-1453,-1465.0,9646965.0,9646965.0,1,9646965.0,99000.0,124573.5,0.0,99000.0,3,11,-1543,18.0,1,365243.0,-1513.0,-1147.0,1.0
167,178066,0,1,2,2,180000.0,1058197.5,38137.5,913500.0,1,2,1,1,-11199,-2576,-2118,-3518,6,5,9,0.6397967972851479,0.5172594796878771,0.524496446363472,1389431,1,-2109,-2132.0,9842.67,9842.67,3,9842.67,78736.5,70861.5,7875.0,78736.5,1,5,-2140,8.0,3,365243.0,-2109.0,-1896.0,0.0
175,196783,0,1,2,1,112500.0,1006920.0,42790.5,900000.0,1,1,1,1,-17798,-2148,-1915,-1321,6,11,0,0.7060784583045248,0.4549405713280285,0.6006575372857061,1419827,9,-1778,-1779.0,8765955.0,8765955.0,3,8765955.0,76410.0,75568.5,7650.0,76410.0,1,0,-2049,12.0,2,365243.0,-2018.0,-1679.0,0.0
180,208432,0,1,2,1,225000.0,630747.0,35347.5,544500.0,2,1,1,1,-19522,-4321,-5971,-3038,2,2,16,0.8070591494226623,0.7555065337133537,0.5709165417729987,1486331,8,-477,-489.0,29900565.0,29900565.0,3,29900565.0,415705.5,411174.0,41571.0,415705.5,5,4,-718,18.0,1,365243.0,-687.0,-170.0,0.0
185,204442,0,1,2,1,157500.0,728460.0,44563.5,675000.0,2,1,2,1,-10077,-2607,-1843,-2697,6,3,2,0.4112602573032275,0.6653575491349416,0.7435593141311444,1586245,1,-110,-124.0,12406.23,12406.23,3,12406.23,110007.0,121626.0,0.0,110007.0,6,0,-140,12.0,1,365243.0,-110.0,-48.0,1.0
191,209630,0,1,1,1,135000.0,225000.0,19377.0,225000.0,1,1,2,2,-13371,-328,-7312,-2263,5,12,17,0.29337434251204725,0.5553883636756826,0.5226973172821112,2340126,3,-712,-727.0,24909075.0,24909075.0,3,24909075.0,128160.0,134928.0,0.0,128160.0,7,6,-803,6.0,1,365243.0,-772.0,-614.0,0.0
198,180298,0,1,2,1,112500.0,749349.0,24304.5,625500.0,1,1,1,1,-13731,-161,-2298,-3017,4,11,18,0.3555870571414179,0.2974351428482553,0.5849900404894085,2015048,2,-2426,-2431.0,5060835.0,5060835.0,3,5060835.0,33309.0,31909.5,3375.0,33309.0,3,0,-2493,8.0,2,365243.0,-2456.0,-2237.0,1.0
205,270950,0,1,1,2,270000.0,450000.0,22018.5,450000.0,1,2,2,1,-14853,-1399,-8493,-4195,5,1,4,0.27457024372021466,0.6366127207060497,0.4956658291397297,2690511,12,-1582,-1599.0,5929.74,10.44,3,5804.46,37300.5,42565.5,4095.0,37300.5,1,11,-1943,12.0,2,365243.0,-1912.0,-1566.0,0.0
207,189081,0,1,1,1,360000.0,640080.0,29970.0,450000.0,1,2,1,4,-10782,-323,-2580,-3464,3,3,2,0.38531660186807815,0.4123846359475669,0.5726825047161584,2579827,6,-1587,-1589.0,4088475.0,4088475.0,3,4088475.0,34191.0,38317.5,3420.0,34191.0,5,1,-1769,12.0,1,365243.0,-1737.0,-1403.0,0.0
212,284313,0,1,2,1,207000.0,1971072.0,68643.0,1800000.0,3,1,1,1,-23356,365243,-14245,-4246,2,11,8,0.7690859559980701,0.04254851691665856,0.6161216908872079,1105009,5,-711,-733.0,6026.94,6026.94,3,6026.94,46161.0,50224.5,0.0,46161.0,1,5,-862,10.0,1,365243.0,-831.0,-583.0,0.0
213,109979,0,1,1,1,247500.0,697500.0,39078.0,697500.0,1,1,1,1,-11066,-1267,-2214,-2221,5,3,4,0.20589442845079275,0.6854213453829273,0.501075160239048,1008903,1,-429,-438.0,10888425.0,10888425.0,3,10888425.0,55260.0,58176.0,0.0,55260.0,6,1,-461,6.0,1,365243.0,-429.0,-327.0,0.0
214,140083,0,1,1,1,180000.0,813195.0,27004.5,702000.0,1,1,1,1,-15752,-2280,-8343,-4214,3,10,2,0.3820140286588925,0.10963125001645004,0.5919766183185521,1926368,3,-781,-771.0,15995745.0,5441.67,3,2002.23,21703.5,19530.0,2173.5,21703.5,5,12,-873,12.0,1,365243.0,-841.0,-758.0,0.0
223,117386,1,1,2,3,270000.0,1006920.0,48442.5,900000.0,1,1,1,1,-11092,-4325,-2143,-1736,2,1,16,0.29545483297992675,0.3963381047312545,0.12217974403015852,2252831,8,-674,-680.0,21988575.0,21988575.0,3,4936005.0,43470.0,43254.0,4347.0,43470.0,5,3,-915,12.0,2,365243.0,-884.0,-668.0,0.0
225,236211,0,1,2,1,99000.0,270000.0,21460.5,270000.0,1,1,3,1,-10199,-2250,-4983,-2869,3,6,4,0.25635349965183685,0.5306218622031207,0.7121551551910698,1615129,1,-2560,-2560.0,10073.97,10073.97,1,10073.97,112500.0,123637.5,0.0,112500.0,3,10,-2590,18.0,2,365243.0,-2560.0,-2047.0,1.0
229,113618,0,2,2,2,112500.0,337500.0,16875.0,337500.0,2,2,1,1,-11428,-313,-165,-2010,5,3,7,0.6193634748071862,0.4395616398997813,0.5549467685334323,1670656,4,-1998,-2006.0,121878.0,121878.0,3,15435945.0,155686.5,149863.5,18000.0,155686.5,7,11,-2119,12.0,1,365243.0,-2088.0,-1993.0,0.0
231,175504,0,1,1,1,315000.0,280170.0,27841.5,247500.0,4,2,1,1,-16990,-4947,-2570,-534,6,6,11,0.6901324176894855,0.4242711822308768,0.4507472818545589,2178973,6,-1470,-1479.0,15554475.0,15554475.0,3,15587.91,79740.0,78966.0,4500.0,79740.0,7,10,-1651,6.0,2,365243.0,-1620.0,-1462.0,0.0
236,228129,0,1,2,1,90000.0,239850.0,23364.0,225000.0,1,1,5,1,-15466,-586,-5948,-4695,1,4,2,0.4167737709583718,0.6427566360226438,0.6642482627052363,1893839,6,-1276,-1276.0,15530625.0,15530625.0,3,15581.61,87097.5,87097.5,0.0,87097.5,2,12,-1457,6.0,3,365243.0,-1426.0,-1270.0,0.0
240,194669,0,1,2,1,292500.0,398160.0,25443.0,315000.0,2,2,3,1,-17487,-7526,-7654,-1007,5,11,7,0.615751743712075,0.5619767863177043,0.6722428897082422,1102127,1,-177,-187.0,3145365.0,3145365.0,3,3145365.0,27693.0,27693.0,0.0,27693.0,3,3,-212,10.0,3,365243.0,-177.0,365243.0,0.0
241,223804,0,1,1,1,112500.0,900000.0,45954.0,900000.0,1,1,1,1,-20636,-3571,-5098,-4177,3,9,0,0.55184079694691,0.778422487820958,0.5513812618027899,1481305,6,-1225,-1231.0,12947895.0,12947895.0,3,12944.25,116973.0,68449.5,54000.0,116973.0,5,8,-1406,6.0,1,365243.0,-1375.0,-1222.0,0.0
245,254608,0,1,2,1,270000.0,450000.0,27324.0,450000.0,2,1,1,1,-16240,-998,-6091,-4088,4,11,4,0.5241534399479633,0.6713002027305769,0.7623356180684377,1814743,7,-549,-573.0,5880.78,5880.78,3,5880.78,87750.0,87750.0,0.0,87750.0,7,12,-760,18.0,3,365243.0,-729.0,-214.0,0.0
246,281124,0,1,2,1,225000.0,99504.0,10323.0,90000.0,3,2,3,1,-20548,365243,-2188,-3703,6,1,8,0.7987993529375486,0.6309281512445973,0.501075160239048,2760897,6,-323,-348.0,6741315.0,6741315.0,3,6741495.0,37764.0,36004.5,3780.0,37764.0,6,12,-504,6.0,1,365243.0,-473.0,-314.0,0.0
247,140126,0,1,2,3,90000.0,1061599.5,31171.5,927000.0,1,1,1,1,-14379,-4931,-1524,-3560,1,11,4,0.4651213895485708,0.5490565531268946,0.6178261467332483,1351102,3,-1824,-1827.0,3785.4,3785.4,3,3785.4,26536.5,25456.5,2655.0,26536.5,3,5,-1916,8.0,1,365243.0,-1884.0,-1667.0,0.0
249,146698,0,2,2,1,67500.0,135000.0,6750.0,135000.0,1,1,1,1,-8276,-1263,-732,-770,1,12,5,0.2383578236169962,0.4456415571965404,0.36227724703843145,1139208,3,-371,-389.0,9174.33,9174.33,3,9174.33,42250.5,49612.5,0.0,42250.5,7,10,-463,6.0,1,365243.0,-431.0,-337.0,0.0
253,252264,1,1,2,4,180000.0,1546020.0,50004.0,1350000.0,2,2,1,1,-12633,-651,-4803,-4691,5,10,4,0.4243970697345644,0.3370407098926429,0.4794489811780563,2571752,9,-631,-638.0,20993.85,20993.85,3,20993.85,233266.5,209938.5,23328.0,233266.5,6,12,-902,12.0,1,365243.0,-871.0,-537.0,0.0
254,226951,0,2,1,1,112500.0,270000.0,13500.0,270000.0,2,2,2,1,-10509,-165,-2276,-3169,6,11,4,0.3165023603472076,0.5579409880176804,0.22383131747015547,1975158,9,-997,-998.0,7746075.0,7746075.0,3,7746075.0,149827.5,149827.5,0.0,149827.5,5,8,-1268,24.0,3,365243.0,-1237.0,-538.0,0.0
255,271193,0,1,2,2,157500.0,432567.0,19183.5,328500.0,2,2,1,1,-9531,-922,-2132,-2216,1,0,5,0.5979056583418529,0.4005311306557436,0.4436153084085652,1011502,13,-332,-333.0,1602.63,10350.0,3,9694665.0,131625.0,147784.5,0.0,131625.0,6,5,-723,18.0,3,365243.0,-692.0,-176.0,0.0
